id,player1_id,player2_id,type,date
1,272,431,Conversation,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
2,300,417,Eating,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
3,150,1,Hugging,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
4,54,378,Collaborating,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
5,254,344,Laughing,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
6,305,368,Arguing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
7,164,421,Joking,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
8,87,75,Collaborating,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
9,242,38,Collaborating,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
10,71,32,Eating,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
11,207,377,Teaching,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
12,400,450,Arguing,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
13,252,352,Conversation,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
14,373,111,Joking,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
15,263,305,Hugging,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
16,427,329,Teaching,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
17,86,211,Arguing,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
18,52,293,Competing,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
19,36,407,Collaborating,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
20,296,276,Hugging,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
21,311,54,Collaborating,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
22,14,141,Arguing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
23,117,27,Conversation,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
24,283,412,Sharing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
25,380,401,Conversation,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
26,173,347,Hugging,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
27,226,439,Conversation,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
28,177,65,Hugging,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
29,288,2,Eating,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
30,278,26,Sharing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
31,28,375,Laughing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
32,346,101,Laughing,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
33,18,340,Sharing,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
34,96,346,Hugging,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
35,215,199,Sharing,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
36,453,6,Eating,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
37,270,202,Conversation,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
38,291,295,Eating,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
39,370,60,Collaborating,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
40,13,347,Conversation,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
41,38,293,Hugging,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
42,116,7,Conversation,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
43,228,239,Joking,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
44,450,181,Competing,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
45,388,378,Collaborating,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
46,127,351,Laughing,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
47,50,223,Sharing,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
48,27,224,Conversation,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
49,272,126,Collaborating,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
50,188,190,Eating,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
51,369,161,Joking,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
52,451,128,Conversation,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
53,321,231,Collaborating,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
54,204,199,Joking,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
55,177,360,Hugging,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
56,435,70,Collaborating,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
57,420,116,Conversation,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
58,69,17,Sharing,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
59,359,311,Competing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
60,274,19,Eating,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
61,63,41,Collaborating,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
62,427,346,Sharing,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
63,408,453,Teaching,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
64,3,299,Competing,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
65,93,357,Hugging,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
66,13,377,Hugging,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
67,271,293,Collaborating,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
68,315,24,Sharing,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
69,163,211,Collaborating,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
70,319,21,Sharing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
71,171,269,Sharing,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
72,441,52,Sharing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
73,179,268,Teaching,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
74,182,314,Collaborating,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
75,80,4,Collaborating,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
76,307,142,Teaching,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
77,358,317,Sharing,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
78,265,230,Sharing,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
79,35,179,Collaborating,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
80,179,65,Laughing,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
81,437,15,Sharing,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
82,172,289,Arguing,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
83,46,264,Collaborating,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
84,340,360,Collaborating,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
85,116,166,Sharing,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
86,439,332,Competing,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
87,138,157,Eating,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
88,201,73,Teaching,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
89,104,234,Laughing,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
90,242,389,Eating,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
91,46,232,Laughing,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
92,105,441,Eating,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
93,243,1,Sharing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
94,208,435,Competing,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
95,211,152,Competing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
96,175,260,Conversation,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
97,407,13,Arguing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
98,83,324,Teaching,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
99,127,417,Arguing,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
100,133,199,Collaborating,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
101,186,36,Collaborating,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
102,66,119,Sharing,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
103,256,161,Arguing,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
104,128,417,Laughing,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
105,339,447,Competing,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
106,328,364,Arguing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
107,310,121,Arguing,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
108,88,143,Conversation,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
109,228,55,Joking,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
110,187,440,Laughing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
111,335,253,Eating,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
112,255,391,Sharing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
113,9,111,Joking,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
114,142,38,Eating,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
115,208,12,Teaching,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
116,218,401,Laughing,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
117,222,332,Competing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
118,423,68,Conversation,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
119,369,8,Joking,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
120,353,24,Laughing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
121,282,41,Joking,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
122,316,291,Eating,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
123,255,407,Conversation,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
124,72,169,Conversation,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
125,52,337,Laughing,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
126,260,69,Sharing,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
127,412,433,Eating,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
128,390,200,Collaborating,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
129,376,393,Conversation,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
130,323,128,Competing,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
131,9,120,Arguing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
132,57,403,Eating,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
133,247,245,Laughing,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
134,146,341,Joking,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
135,136,199,Sharing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
136,298,455,Collaborating,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
137,309,320,Competing,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
138,39,108,Teaching,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
139,3,232,Sharing,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
140,337,291,Sharing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
141,233,191,Sharing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
142,400,43,Sharing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
143,324,443,Laughing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
144,194,8,Hugging,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
145,110,282,Collaborating,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
146,102,93,Competing,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
147,372,185,Arguing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
148,177,112,Laughing,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
149,103,329,Arguing,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
150,207,304,Laughing,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
151,160,357,Teaching,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
152,295,14,Arguing,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
153,200,39,Arguing,Thu Jun 25 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
154,93,405,Teaching,Wed Jun 24 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
155,155,288,Laughing,Sat Jun 27 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
156,92,61,Hugging,Fri Jun 26 2020 20:00:00 GMT-0400 (Eastern Daylight Time)
